Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Property Type,Residential Type,Sales Ratio
2222132,2022,2023-04-18,Ansonia,16 SHEASBY RD,253960,415000,Residential,Single Family,0.6119518072289156
220829,2022,2023-03-20,Bridgeport,326 BOND ST,110775,255000,Residential,Two Family,0.43441176470588233
220218,2022,2023-01-24,Enfield,336 TAYLOR RD,137600,280000,Residential,Single Family,0.49142857142857144
222310,2022,2023-08-16,Bridgeport,64 HARBOR AVE #66,227450,624200,Residential,Three Family,0.3643864146107017
220590,2022,2023-01-31,Bridgeport,995 CAPITOL AVE UNIT #M,64530,180000,Residential,Condo,0.3585
2200091,2022,2022-11-30,New Milford,112 WYNWOOD DR,158480,347000,Residential,Single Family,0.4567146974063401
22085,2022,2022-12-13,Montville,9 KIM AVE,139510,230000,Residential,Single Family,0.6065652173913043
2200405,2022,2023-07-26,New Milford,17 BONNIE VU LN,247420,563000,Residential,Single Family,0.4394671403197158
220754,2022,2023-07-21,Meriden,21 CATLIN ST,167160,421000,Residential,Three Family,0.3970546318289786
22037,2022,2022-10-31,Montville,52 ALLEN DR,143780,285000,Residential,Single Family,0.5044912280701754
22000316,2022,2023-07-17,Cheshire,245 VILLAGE DR,283230,665000,Residential,Single Family,0.42590977443609024
220119,2022,2023-04-18,Clinton,92 GROVE ST,327600,770000,Residential,Two Family,0.4254545454545455
220353,2022,2023-02-21,Hamden,75 WASHINGTON AVE 5-402,66850,151000,Residential,Condo,0.4427152317880795
221082,2022,2023-05-26,Fairfield,311 HARVESTER ROAD,285040,647000,Residential,Single Family,0.4405564142194745
220259,2022,2023-01-13,New Haven,493 HOWARD AV,218260,281000,Residential,Two Family,0.7767259786476869
2200398,2022,2023-08-15,East Haven,569 MAIN ST,161630,350169,Residential,Two Family,0.4615771241886061
220648,2022,2023-06-22,Greenwich,9 COTTONTAIL ROAD,1479030,2900000,Residential,Single Family,0.5100103448275862
221461,2022,2022-11-15,Manchester,53 DUVAL STREET,162200,150000,Residential,Single Family,1.0813333333333333
220026,2022,2022-10-13,East Hartford,29 LANHAM LN,113430,235000,Residential,Single Family,0.4826808510638298
220214,2022,2023-09-28,Coventry,102 SPRING TR,115300,210000,Residential,Single Family,0.549047619047619
220553,2022,2023-05-31,Branford,530 WEST MAIN ST,104800,175000,Residential,Two Family,0.5988571428571429
222080,2022,2023-06-26,Bridgeport,520 LAUREL AVE,333960,600000,Residential,Two Family,0.5566
220147,2022,2023-03-20,Killingly,519 MAIN ST,80010,135000,Residential,Single Family,0.5926666666666667
22077,2022,2023-06-23,Lebanon,347 GATES RD,115430,30000,Residential,Single Family,3.8476666666666666
